"","from","to","weight","year"
"1","CHN","ARE",1,2017
"2","CHN","ARE",1,2018
"3","CHN","ARE",1,2019
"4","CHN","ARE",1,2020
"5","CHN","ARE",1,2021
"6","CHN","ARE",1,2022
"7","CHN","ARE",1,2023
"8","CHN","ARE",1,2024
"9","CHN","ARE",1,2025
"10","CHN","BRA",1,2019
"11","CHN","BRA",1,2020
"12","CHN","BRA",2,2021
"13","CHN","BRA",2,2022
"14","CHN","BRA",2,2023
"15","CHN","BRA",2,2024
"16","CHN","BRA",2,2025
"17","CHN","CHL",1,2019
"18","CHN","CHL",1,2020
"19","CHN","CHL",1,2021
"20","CHN","CHL",1,2022
"21","CHN","CHL",1,2023
"22","CHN","CHL",1,2024
"23","CHN","CHL",1,2025
"24","CHN","DEU",1,2017
"25","CHN","DEU",1,2018
"26","CHN","DEU",1,2019
"27","CHN","DEU",1,2020
"28","CHN","DEU",2,2021
"29","CHN","DEU",2,2022
"30","CHN","DEU",2,2023
"31","CHN","DEU",2,2024
"32","CHN","DEU",2,2025
"33","CHN","EGY",1,2024
"34","CHN","EGY",1,2025
"35","CHN","GBR",1,2018
"36","CHN","GBR",1,2019
"37","CHN","GBR",1,2020
"38","CHN","GBR",1,2021
"39","CHN","GBR",1,2022
"40","CHN","GBR",1,2023
"41","CHN","GBR",1,2024
"42","CHN","GBR",1,2025
"43","CHN","HKG",1,2017
"44","CHN","HKG",3,2018
"45","CHN","HKG",3,2019
"46","CHN","HKG",3,2020
"47","CHN","HKG",3,2021
"48","CHN","HKG",3,2022
"49","CHN","HKG",3,2023
"50","CHN","HKG",3,2024
"51","CHN","HKG",3,2025
"52","CHN","IDN",1,2018
"53","CHN","IDN",1,2019
"54","CHN","IDN",2,2020
"55","CHN","IDN",2,2021
"56","CHN","IDN",3,2022
"57","CHN","IDN",3,2023
"58","CHN","IDN",3,2024
"59","CHN","IDN",3,2025
"60","CHN","IRL",1,2023
"61","CHN","IRL",1,2024
"62","CHN","IRL",1,2025
"63","CHN","JPN",1,2017
"64","CHN","JPN",1,2018
"65","CHN","JPN",1,2019
"66","CHN","JPN",1,2020
"67","CHN","JPN",2,2021
"68","CHN","JPN",2,2022
"69","CHN","JPN",2,2023
"70","CHN","JPN",2,2024
"71","CHN","JPN",2,2025
"72","CHN","KOR",1,2020
"73","CHN","KOR",1,2021
"74","CHN","KOR",2,2022
"75","CHN","KOR",2,2023
"76","CHN","KOR",2,2024
"77","CHN","KOR",2,2025
"78","CHN","MEX",1,2024
"79","CHN","MEX",2,2025
"80","CHN","MYS",1,2017
"81","CHN","MYS",1,2018
"82","CHN","MYS",1,2019
"83","CHN","MYS",1,2020
"84","CHN","MYS",1,2021
"85","CHN","MYS",1,2022
"86","CHN","MYS",1,2023
"87","CHN","MYS",1,2024
"88","CHN","MYS",1,2025
"89","CHN","PER",1,2017
"90","CHN","PER",1,2018
"91","CHN","PER",1,2019
"92","CHN","PER",1,2020
"93","CHN","PER",1,2021
"94","CHN","PER",1,2022
"95","CHN","PER",1,2023
"96","CHN","PER",1,2024
"97","CHN","PER",1,2025
"98","CHN","PHL",1,2021
"99","CHN","PHL",1,2022
"100","CHN","PHL",1,2023
"101","CHN","PHL",2,2024
"102","CHN","PHL",2,2025
"103","CHN","SAU",1,2022
"104","CHN","SAU",2,2023
"105","CHN","SAU",2,2024
"106","CHN","SAU",3,2025
"107","CHN","SGP",1,2017
"108","CHN","SGP",1,2018
"109","CHN","SGP",2,2019
