"from","to","weight","year"
"ALB","AUT",0.338178,2017
"BGR","ALB",0.112726,2017
"ALB","CZE",0.789082,2017
"ALB","DEU",0.901808,2017
"ALB","DEU",0.901808,2017
"FRA","ALB",0.338178,2017
"ALB","GBR",0.112726,2017
"ALB","GRC",0.112726,2017
"ALB","HRV",0.225452,2017
"ALB","HUN",0.112726,2017
"ALB","IRL",0.225452,2017
"ALB","ITA",1.465437,2017
"LVA","ALB",0.112726,2017
"ALB","MLT",0.112726,2017
"ALB","POL",0.338178,2017
"ALB","ROU",0.112726,2017
"SVN","ALB",0.112726,2017
"ALB",NA,0.112726,2017
"ALB","USA",0.112726,2017
"ARG","BOL",0.1,2017
"BRA","ARG",0.8,2017
"CAN","ARG",0.3,2017
"ARG","CHE",6.4,2017
"CHL","ARG",0.5,2017
"ARG","COL",0.1,2017
"DEU","ARG",1,2017
"DEU","ARG",1,2017
"ARG","ECU",0.2,2017
"ARG","ESP",1.4,2017
"FRA","ARG",0.3,2017
"GBR","ARG",5.7,2017
"IRL","ARG",0.5,2017
"ITA","ARG",1.7,2017
"MEX","ARG",0.2,2017
"NLD","ARG",0.1,2017
"ARG","PER",0.1,2017
"ARG","PRY",0.1,2017
"USA","ARG",24.1,2017
"ARG","URY",0.5,2017
"BEL","AUT",2.254519,2017
"BEL","AUT",2.254519,2017
"BGR","AUT",5.636297,2017
"BRA","AUT",1.127259,2017
"AUT","CHE",7.890816,2017
"CZE","AUT",4.509038,2017
"AUT","DEU",1.12725900000001,2017
"AUT","DEU",1.12725900000001,2017
"EST","AUT",2.254519,2017
"EGY","AUT",1.127259,2017
"AUT","ESP",1.12726,2017
"AUT","FIN",1.127259,2017
"AUT","GBR",41.7086,2017
"GRC","AUT",1.127259,2017
"HRV","AUT",2.254519,2017
"AUT","HUN",1.12726,2017
"IRL","AUT",33.817785,2017
"ITA","AUT",1.12726,2017
"AUT","JPN",1.127259,2017
"LTU","AUT",3.381778,2017
"LUX","AUT",13.527114,2017
"LVA","AUT",1.127259,2017
"NLD","AUT",18.036152,2017
"POL","AUT",22.54519,2017
"AUT","PRT",1.127259,2017
"ROU","AUT",2.254519,2017
"RUS","AUT",10.145335,2017
"AUT","SWE",1.12726,2017
"SVN","AUT",1.12726,2017
"SVK","AUT",5.636298,2017
"TUR","AUT",1.12726,2017
"AUT","USA",27.054228,2017
"BEL","DEU",9.018076,2017
"BEL","DEU",9.018076,2017
"BEL","DEU",9.018076,2017
"BEL","DEU",9.018076,2017
"BEL","DNK",5.636297,2017
"BEL","DNK",5.636297,2017
"BEL","ESP",1.12726,2017
"BEL","ESP",1.12726,2017
"GBR","BEL",33.817784,2017
"GBR","BEL",33.817784,2017
"BEL","GRC",1.127259,2017
"BEL","GRC",1.127259,2017
"IRL","BEL",7.890816,2017
"IRL","BEL",7.890816,2017
"BEL","ITA",4.509038,2017
"BEL","ITA",4.509038,2017
"BEL","KOR",2.254519,2017
"BEL","KOR",2.254519,2017
