"surplus_country_iso2","surplus_country_name","deficit_country_iso2","deficit_country_name","trade_value","year","surplus_country_iso3","deficit_country_iso3","total_trade_year"
"US","United States of America","CA","Canada",505.4,2017,"USA","CAN",8786.980931
"ES","Spain","CO","Colombia",46.14,2017,"ESP","COL",8786.980931
"US","United States of America","CO","Colombia",218.79,2017,"USA","COL",8786.980931
"CR","Costa Rica","IE","Ireland",91.737891,2017,"CRI","IRL",8786.980931
"CR","Costa Rica","US","United States of America",868.386104,2017,"CRI","USA",8786.980931
"DE","Germany","CZ","Czech Republic",69.777362,2017,"DEU","CZE",8786.980931
"DE","Germany","CZ","Czech Republic",69.777362,2017,"DEU","CZE",8786.980931
"IE","Ireland","CZ","Czech Republic",50.952128,2017,"IRL","CZE",8786.980931
"DE","Germany","FR","France",87,2017,"DEU","FRA",8786.980931
"DE","Germany","FR","France",87,2017,"DEU","FRA",8786.980931
"NL","Netherlands","DE","Germany",53.1,2017,"NLD","DEU",8786.980931
"NL","Netherlands","DE","Germany",53.1,2017,"NLD","DEU",8786.980931
"DK","Denmark","NO","Norway",60.421108,2017,"DNK","NOR",8786.980931
"US","United States of America","DK","Denmark",106.187843,2017,"USA","DNK",8786.980931
"ES","Spain","FR","France",65.38105,2017,"ESP","FRA",8786.980931
"IE","Ireland","ES","Spain",162.325365,2017,"IRL","ESP",8786.980931
"US","United States of America","ES","Spain",66.508309,2017,"USA","ESP",8786.980931
"US","United States of America","FR","France",208.543003,2017,"USA","FRA",8786.980931
"IE","Ireland","GB","United Kingdom",144.2,2017,"IRL","GBR",8786.980931
"GB","United Kingdom","IT","Italy",106.8,2017,"GBR","ITA",8786.980931
"GB","United Kingdom","JP","Japan",113.3,2017,"GBR","JPN",8786.980931
"GB","United Kingdom","KR","Korea, Republic of",52.8,2017,"GBR","KOR",8786.980931
"GB","United Kingdom","NL","Netherlands",216.2,2017,"GBR","NLD",8786.980931
"GB","United Kingdom","RU","Russian Federation",56.6,2017,"GBR","RUS",8786.980931
"GB","United Kingdom","SE","Sweden",52.8,2017,"GBR","SWE",8786.980931
"GB","United Kingdom","SG","Singapore",52.7,2017,"GBR","SGP",8786.980931
"GB","United Kingdom","US","United States of America",1970.4,2017,"GBR","USA",8786.980931
"US","United States of America","IT","Italy",204.033966,2017,"USA","ITA",8786.980931
"NL","Netherlands","RU","Russian Federation",88.489869,2017,"NLD","RUS",8786.980931
"NL","Netherlands","SE","Sweden",45.090379,2017,"NLD","SWE",8786.980931
