"from","to","weight","year"
"BEL","ABW",0.000047,2022
"ABW","BRA",0.00221,2022
"ABW","BRA",0.000661,2023
"ABW","CHE",0.011364,2020
"ABW","CHN",0.00068,2018
"ABW","CHN",0.024524,2019
"CHN","ABW",0.000406,2022
"CHN","ABW",0.000116,2023
"CRI","ABW",0.005115,2017
"DEU","ABW",0.000986,2017
"DEU","ABW",0.00213,2021
"DEU","ABW",0.000385,2023
"ESP","ABW",0.000948,2022
"ABW","GHA",0.002306,2019
"ITA","ABW",0.003444,2017
"ITA","ABW",0.003275,2018
"NLD","ABW",0.004095,2017
"NLD","ABW",0.018377,2018
"NLD","ABW",0.012403,2019
"NLD","ABW",0.005586,2020
"NLD","ABW",0.008964,2021
"NLD","ABW",0.008964,2021
"NOR","ABW",0.002781,2017
"ABW","NZL",0.000153,2021
"PRT","ABW",0.003118,2017
"USA","ABW",0.058091,2017
"USA","ABW",0.04533,2018
"USA","ABW",0.023173,2019
"USA","ABW",0.008353,2020
"USA","ABW",0.020483,2021
"USA","ABW",0.042758,2022
"USA","ABW",0.077977,2023
"ARE","AFG",0.058034,2018
"ARE","AFG",0.213544,2019
"ARE","AFG",0.047606,2020
"ARE","AFG",0.279679,2021
"ARE","AFG",0.00418,2022
"ARE","AFG",0.009626,2023
"CAN","AFG",0.009649,2018
"AFG","CAN",0.000067,2022
"AFG","CAN",0.15605,2023
"CHE","AFG",0.000636,2018
"AFG","CHN",0.005049,2017
"AFG","CHN",0.005049,2017
"AFG","CHN",0.000164,2018
"CHN","AFG",0.000009,2020
"CHN","AFG",0.000027,2021
"CHN","AFG",0.000058,2022
"CHN","AFG",0.000058,2022
"AFG","CZE",0.000122,2020
"DEU","AFG",0.022375,2017
"AFG","DEU",0.019562,2018
"AFG","DEU",0.019562,2018
"DEU","AFG",0.015083,2019
"DEU","AFG",0.004759,2021
"DEU","AFG",0.016231,2023
"AFG","ESP",0.089687,2021
"FRA","AFG",0.001626,2018
"FRA","AFG",0.000306,2019
"GBR","AFG",0.005803,2017
"GBR","AFG",0.02054,2018
"GBR","AFG",0.048351,2019
"GBR","AFG",0.005023,2021
"HKG","AFG",0.003468,2017
"IND","AFG",0.000074,2017
"IND","AFG",0.108558,2023
"AFG","IRL",0.000274,2022
"AFG","ISR",0.001,2019
"AFG","ITA",0.018917,2023
"AFG","JPN",0.0291,2019
"AFG","KOR",0.001663,2018
"LBN","AFG",0.006426,2019
"AFG","MYS",0.444995,2022
"AFG","NLD",0.025589,2018
"AFG","NLD",0.025589,2018
"NLD","AFG",0.030165,2020
"NLD","AFG",0.026249,2021
"NLD","AFG",0.000156,2022
"PHL","AFG",0.531561,2019
"PHL","AFG",0.003633,2020
"PHL","AFG",0.00369,2021
"PHL","AFG",0.682358,2023
"AFG","POL",0.0034,2018
"POL","AFG",0.004048,2020
"POL","AFG",0.004048,2020
"AFG","POL",0.000006,2023
"RUS","AFG",0.00005,2018
"SGP","AFG",0.000929,2019
"AFG","SVK",0.000826,2019
"AFG","SVK",0.00069,2020
"SWE","AFG",0.022837,2019
"TUR","AFG",0.003135,2017
"TUR","AFG",0.00181,2018
"TUR","AFG",0.002746,2019
"TUR","AFG",0.001931,2021
"TUR","AFG",0.025273,2023
"USA","AFG",0.303946,2017
"USA","AFG",0.303946,2017
"USA","AFG",0.121681,2018
"USA","AFG",0.535855,2019
"USA","AFG",0.535855,2019
"USA","AFG",0.112201,2020
"USA","AFG",0.018115,2022
"ARE","AGO",0.028642,2018
"ARE","AGO",0.056635,2019
"ARE","AGO",0.056635,2019
"ARE","AGO",0.080741,2020
"ARE","AGO",0.080741,2020
"ARE","AGO",0.045549,2021
"ARE","AGO",0.090761,2022
"ARE","AGO",0.083236,2023
"AUS","AGO",0.002418,2023
"AUT","AGO",0.036738,2017
"AGO","AUT",0.018545,2018
"AGO","AUT",0.018545,2018
"AGO","AUT",0.041958,2019
"AGO","AUT",0.041958,2019
"AUT","AGO",0.000842,2020
"AUT","AGO",0.000447,2021
"AUT","AGO",0.001078,2022
"AUT","AGO",0.001746,2023
"BEL","AGO",0.007479,2018
"BEL","AGO",0.003339,2019
"BEL","AGO",0.003339,2019
"BEL","AGO",0.163222,2020
"BEL","AGO",0.163222,2020
"BEL","AGO",0.083809,2021
"BEL","AGO",0.083809,2021
"BEL","AGO",0.021794,2022
"AGO","BEL",0.096712,2023
"AGO","BEL",0.096712,2023
"BHR","AGO",0.000095,2019
"BLR","AGO",0.0011,2017
"BRA","AGO",0.012532,2017
"BRA","AGO",0.006834,2018
"BRA","AGO",0.006834,2018
"BRA","AGO",0.006287,2019
"BRA","AGO",0.037793,2020
"BRA","AGO",0.002511,2021
"BRA","AGO",0.000241,2022
"BRA","AGO",0.009105,2023
"CAN","AGO",0.023392,2017
