"from","to","weight","year"
"DEU","CHN",918.383107,2017
"DEU","CHN",958.940313,2018
"CHN","HKG",11234.506036,2017
"CHN","HKG",10876.353354,2018
"CHN","HKG",13788.028776,2019
"CHN","HKG",15123.510325,2020
"CHN","HKG",19181.496136,2021
"CHN","HKG",20953.986045,2022
"CHN","HKG",21524.49409,2023
"CHN","IND",1202.181393,2018
"CHN","IND",1671.054988,2019
"CHN","IND",1247.819457,2020
"CHN","IND",3569.20486,2022
"CHN","IND",4612.555012,2023
"IRL","CHN",2871.693328,2017
"IRL","CHN",3563.870333,2018
"IRL","CHN",5667.010671,2019
"IRL","CHN",6647.555552,2020
"IRL","CHN",7810.214019,2021
"IRL","CHN",7624.437966,2022
"IRL","CHN",4467.308877,2023
"ISR","CHN",1394.618725,2017
"ISR","CHN",1617.393108,2018
"ISR","CHN",1215.39771,2019
"ISR","CHN",2237.766097,2020
"ISR","CHN",2129.256033,2021
"ISR","CHN",2530.591557,2022
"JPN","CHN",1059.963218,2017
"JPN","CHN",1369.561965,2021
"JPN","CHN",1687.919349,2022
"JPN","CHN",1929.832756,2023
"KOR","CHN",6858.386558,2017
"KOR","CHN",5751.46949,2018
"KOR","CHN",5736.765048,2019
"KOR","CHN",6110.398241,2020
"KOR","CHN",9836.104557,2021
"KOR","CHN",13328.349162,2022
"KOR","CHN",17030.813243,2023
"CHN","MEX",1059.209167,2022
"MYS","CHN",7784.329643,2017
"MYS","CHN",8607.789213,2018
"MYS","CHN",4338.695963,2019
"MYS","CHN",4591.636704,2020
"MYS","CHN",3837.598445,2021
"MYS","CHN",7506.452974,2022
"MYS","CHN",7920.213895,2023
"PHL","CHN",2260.78162,2017
"PHL","CHN",2456.840026,2018
"PHL","CHN",1908.249253,2019
"PHL","CHN",1916.709504,2020
"PHL","CHN",2451.886408,2021
"PHL","CHN",2654.356408,2022
"PHL","CHN",2295.640306,2023
"SGP","CHN",1142.113369,2018
"SGP","CHN",1311.134271,2019
"SGP","CHN",749.989025,2020
"SGP","CHN",1488.310277,2021
"SGP","CHN",1865.902522,2022
"SGP","CHN",1754.437272,2023
"USA","CHN",3096.205499,2017
"USA","CHN",3603.922224,2018
"USA","CHN",6542.02465,2019
"USA","CHN",7758.216638,2020
"USA","CHN",8831.937723,2021
"USA","CHN",5649.52566,2022
"USA","CHN",1914.360202,2023
"VNM","CHN",2442.632709,2017
"VNM","CHN",1841.81323,2018
"VNM","CHN",2466.408931,2019
"VNM","CHN",4208.200456,2020
"VNM","CHN",4362.289934,2021
"VNM","CHN",4669.708644,2022
"VNM","CHN",8865.603163,2023
"CRI","NLD",1731.041743,2021
"NLD","CZE",890.960552,2018
"JPN","DEU",576.694362,2017
"USA","DEU",668.267619,2018
"USA","DEU",817.570566,2019
"HKG","IND",1460.548836,2018
"HKG","IND",2250.07872,2019
"HKG","IND",1568.292826,2020
"HKG","IND",1903.284653,2021
"HKG","IND",1616.506052,2022
"JPN","HKG",620.622563,2017
"KOR","HKG",2065.328382,2017
"KOR","HKG",2374.993447,2018
"KOR","HKG",2110.201972,2019
"KOR","HKG",2394.313359,2020
"KOR","HKG",3008.331902,2021
"KOR","HKG",2738.8996,2022
"KOR","HKG",2154.992158,2023
"MYS","HKG",4620.884434,2017
"MYS","HKG",9517.136038,2018
"MYS","HKG",8370.706679,2019
"MYS","HKG",7909.27748,2020
"MYS","HKG",6077.155748,2021
"MYS","HKG",7274.487885,2022
"MYS","HKG",5948.60386,2023
"PHL","HKG",1572.227345,2017
"PHL","HKG",1414.750702,2018
"PHL","HKG",2073.860162,2019
"PHL","HKG",2551.631444,2020
"PHL","HKG",3033.712216,2021
"PHL","HKG",2897.537849,2022
"PHL","HKG",1928.554923,2023
"SGP","HKG",7978.221396,2017
"SGP","HKG",8003.114614,2018
"SGP","HKG",6786.172939,2019
"SGP","HKG",9385.846528,2020
"SGP","HKG",13659.9313,2021
"SGP","HKG",16001.957234,2022
"SGP","HKG",12692.719044,2023
"USA","HKG",593.860757,2017
"USA","HKG",671.663912,2019
"USA","HKG",875.6441,2021
"VNM","HKG",2980.057928,2017
"VNM","HKG",2290.366016,2018
"VNM","HKG",2851.185184,2019
"VNM","HKG",3889.399462,2020
"VNM","HKG",4165.001331,2021
"VNM","HKG",3116.148988,2022
"VNM","HKG",3406.969727,2023
"NLD","HUN",639.162737,2019
"KOR","IND",1320.011212,2023
"ISR","IRL",2098.384974,2021
"ISR","IRL",3702.861598,2022
"ISR","IRL",3250.425301,2023
"IRL","MYS",694.153785,2018
"IRL","MYS",1568.845739,2021
"IRL","MYS",1823.625533,2022
"IRL","MYS",2122.13322,2023
"IRL","USA",2192.081716,2017
"IRL","USA",1039.446063,2018
"IRL","USA",714.689744,2019
"IRL","USA",1057.816109,2022
"IRL","VNM",1142.845648,2018
"IRL","VNM",1586.253727,2019
"IRL","VNM",2705.354369,2020
"IRL","VNM",2956.55606,2021
"IRL","VNM",2155.492153,2022
"JPN","KOR",1541.267757,2017
"JPN","KOR",1315.311152,2018
"JPN","KOR",1333.888929,2019
"JPN","KOR",1587.748694,2020
"JPN","KOR",1886.295237,2021
"JPN","KOR",3475.876422,2022
"JPN","SGP",1346.291137,2022
"JPN","SGP",1599.441286,2023
"MYS","KOR",1233.658354,2023
"KOR","SGP",1187.533303,2017
"KOR","SGP",2994.829637,2021
"KOR","SGP",5075.196174,2022
"KOR","SGP",7291.785285,2023
"USA","KOR",2768.048826,2017
"USA","KOR",2108.494024,2018
"USA","KOR",1815.968753,2019
"USA","KOR",1672.833832,2020
"USA","KOR",1621.86189,2021
"USA","KOR",1266.170816,2022
"KOR","VNM",4646.946903,2017
"KOR","VNM",4468.286068,2018
"KOR","VNM",4010.417399,2019
"KOR","VNM",4817.057728,2020
"KOR","VNM",4390.750149,2021
"KOR","VNM",5683.189939,2022
"MYS","MEX",2028.402841,2021
"MYS","MEX",2348.864874,2022
"MYS","MEX",1960.312927,2023
"USA","MEX",3584.433109,2017
"USA","MEX",3873.887479,2018
"USA","MEX",6566.508585,2019
