"surplus_country_iso3","surplus_country_name","deficit_country_iso3","deficit_country_name","trade_value","year","total_trade_year"
"CHN","China","HKG","Hong Kong",11234.506036,2017,224809.547288
"CHN","China","HKG","Hong Kong",11234.506036,2017,224809.547288
"CHN","China","HKG","Hong Kong",10876.353354,2018,239270.915695
"CHN","China","HKG","Hong Kong",10876.353354,2018,239270.915695
"CHN","China","HKG","Hong Kong",13788.028776,2019,250856.902919
"CHN","China","HKG","Hong Kong",13788.028776,2019,250856.902919
"CHN","China","HKG","Hong Kong",15123.510325,2020,283355.494495001
"CHN","China","HKG","Hong Kong",15123.510325,2020,283355.494495001
"CHN","China","HKG","Hong Kong",19181.496136,2021,348477.224363999
"CHN","China","HKG","Hong Kong",19181.496136,2021,348477.224363999
"CHN","China","HKG","Hong Kong",20953.986045,2022,383431.321529001
"CHN","China","HKG","Hong Kong",20953.986045,2022,383431.321529001
"CHN","China","HKG","Hong Kong",21524.49409,2023,363459.883593
"CHN","China","HKG","Hong Kong",21524.49409,2023,363459.883593
"CHN","China","IND","India",1202.181393,2018,239270.915695
"CHN","China","IND","India",1202.181393,2018,239270.915695
"CHN","China","IND","India",1671.054988,2019,250856.902919
"CHN","China","IND","India",1671.054988,2019,250856.902919
"CHN","China","IND","India",3569.20486,2022,383431.321529001
"CHN","China","IND","India",3569.20486,2022,383431.321529001
"CHN","China","IND","India",4612.555012,2023,363459.883593
"CHN","China","IND","India",4612.555012,2023,363459.883593
"IRL","Ireland","CHN","China",2871.693328,2017,224809.547288
"IRL","Ireland","CHN","China",2871.693328,2017,224809.547288
"IRL","Ireland","CHN","China",3563.870333,2018,239270.915695
"IRL","Ireland","CHN","China",3563.870333,2018,239270.915695
"IRL","Ireland","CHN","China",5667.010671,2019,250856.902919
"IRL","Ireland","CHN","China",5667.010671,2019,250856.902919
"IRL","Ireland","CHN","China",6647.555552,2020,283355.494495001
"IRL","Ireland","CHN","China",6647.555552,2020,283355.494495001
"IRL","Ireland","CHN","China",7810.214019,2021,348477.224363999
"IRL","Ireland","CHN","China",7810.214019,2021,348477.224363999
"IRL","Ireland","CHN","China",7624.437966,2022,383431.321529001
"IRL","Ireland","CHN","China",7624.437966,2022,383431.321529001
"IRL","Ireland","CHN","China",4467.308877,2023,363459.883593
"IRL","Ireland","CHN","China",4467.308877,2023,363459.883593
"ISR","Israel","CHN","China",1394.618725,2017,224809.547288
"ISR","Israel","CHN","China",1394.618725,2017,224809.547288
"ISR","Israel","CHN","China",1617.393108,2018,239270.915695
"ISR","Israel","CHN","China",1617.393108,2018,239270.915695
"ISR","Israel","CHN","China",2237.766097,2020,283355.494495001
"ISR","Israel","CHN","China",2237.766097,2020,283355.494495001
"ISR","Israel","CHN","China",2129.256033,2021,348477.224363999
"ISR","Israel","CHN","China",2129.256033,2021,348477.224363999
"ISR","Israel","CHN","China",2530.591557,2022,383431.321529001
"ISR","Israel","CHN","China",2530.591557,2022,383431.321529001
"JPN","Japan","CHN","China",1929.832756,2023,363459.883593
"JPN","Japan","CHN","China",1929.832756,2023,363459.883593
"KOR","Rep. of Korea","CHN","China",6858.386558,2017,224809.547288
"KOR","Rep. of Korea","CHN","China",6858.386558,2017,224809.547288
"KOR","Rep. of Korea","CHN","China",5751.46949,2018,239270.915695
"KOR","Rep. of Korea","CHN","China",5751.46949,2018,239270.915695
"KOR","Rep. of Korea","CHN","China",5736.765048,2019,250856.902919
"KOR","Rep. of Korea","CHN","China",5736.765048,2019,250856.902919
"KOR","Rep. of Korea","CHN","China",6110.398241,2020,283355.494495001
"KOR","Rep. of Korea","CHN","China",6110.398241,2020,283355.494495001
"KOR","Rep. of Korea","CHN","China",9836.104557,2021,348477.224363999
"KOR","Rep. of Korea","CHN","China",9836.104557,2021,348477.224363999
"KOR","Rep. of Korea","CHN","China",13328.349162,2022,383431.321529001
"KOR","Rep. of Korea","CHN","China",13328.349162,2022,383431.321529001
"KOR","Rep. of Korea","CHN","China",17030.813243,2023,363459.883593
"KOR","Rep. of Korea","CHN","China",17030.813243,2023,363459.883593
"MYS","Malaysia","CHN","China",7784.329643,2017,224809.547288
"MYS","Malaysia","CHN","China",7784.329643,2017,224809.547288
"MYS","Malaysia","CHN","China",8607.789213,2018,239270.915695
"MYS","Malaysia","CHN","China",8607.789213,2018,239270.915695
