provider;provider_country_name;provider_country_iso3;host_country_name;host_country_iso3;region_name;location;az_number;launch_year;source;;;;
AWS;United States of America;USA;United States of America;USA;AWS GovCloud (US-East);US East;3;2018;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United States of America;USA;AWS GovCloud (US-West);US West;3;2011;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United States of America;USA;US East (Northern Virginia);North Virginia;6;2006;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United States of America;USA;US West (Northern California);North California;3;2009;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United States of America;USA;US East (Ohio);Ohio;3;2016;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United States of America;USA;US West (Oregon);Oregon;4;2011;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Canada;CAN;Canada (Central);Central Canada;3;2016;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Canada;CAN;Canada (Calgary);Calgary;3;2023;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Mexico;MEX;Mexico (Central);Central Mexico;3;2025;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Brazil;BRA;South Amercia (Sao Paulo);Sao Paulo;3;2011;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Sweden;SWE;Europe (Stockholm);Stockholm;3;2018;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Germany;DEU;Europe (Frankfurt);Frankfurt;3;2018;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Ireland;IRL;Europe (Ireland);Ireland;3;2007;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United Kingdom;GBR;Europe (London);London;3;2016;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Italy;ITA;Europe (Milan);Milan;3;2020;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;France;FRA;Europe (Paris);Paris;3;2017;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Spain;ESP;Europe (Spain);Spain;3;2022;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Switzerland;CHE;Europe (Zurich);Zurich;3;2022;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Bahrain;BHR;Middle East (Bahrain);Bahrain;3;2019;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Saudi Arabia;SAU;Kingdom of Saudi Arabia;Saudi Arabia;3;NA;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Israel;ISR;Israel (Tel Aviv);Tel Aviv;3;2023;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;United Arab Emirates;ARE;Middle East (UAE);UAE;3;2022;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Chile;CHL;South America (Chile);Chile;1;NA;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;South Africa;ZAF;Africa (Cape Town);Cape Town;3;2020;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;China;CHN;Mainland China (Beijing);Beijing;3;NA;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Hong Kong;HKG;Asia Pacific (Hong Kong);Hong Kong;3;2019;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;India;IND;Asia Pacific (Hyderabad);Hyderabad;3;2022;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Indonesia;IDN;Asia Pacific (Jakarta);Jakarta;3;2021;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Malaysia;MYS;Asia Pacific (Malaysia);Malysia;3;2024;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;India;IND;Asia Pacific (Mumbai);Mumbai;3;2016;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;China;CHN;Mainland China (Ningxia);Nigxia;3;NA;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Japan;JPN;Asia Pacific (Osaka);Osaka;3;2021;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Korea, Republic of;KOR;Asia Pacific (Seoul);Seoul;4;2016;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Singapore;SGP;Asia Pacific (Singapore);Singapore;3;2010;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Taiwan;THA;Asia Pacific (Taipei);Taipei;3;2025;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Thailand;THA;Asia Pacific (Thailand);Thailaind;3;2025;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Japan;JPN;Asia Pacific (Tokyo);Tokyo;4;2011;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Australia;AUT;Australia (Melbourne);Melbourne;3;2023;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;Australia;AUS;Sydney;Sydney;3;2012;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
AWS;United States of America;USA;New Zealand;NZL;AWS Asia Pacific (New Zealand);New Zealand;3;2025;https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;;;;
Azure;United States of America;USA;Australia;AUS;Australia Central (Canberra);Canberra;1;2018;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Australia;AUS;Australia East (New South Wales);New South Wales;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Australia ;AUS;Australia Southeast (Victoria);Victoria;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Austria;AUT;Austria East (Vienna);Vienna;1;2025;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Belgium;BEL;Belgium Central (Brussels);Brussels;1;2025;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Brazil;BRA;Brazil South (Sao Paulo);Sao Paulo;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Brazil;BRA;Brazil Southeast (Rio);Rio;1;NA;https://learn.microsoft.com/en-us/azure/reliability/regions-list;;;;
Azure;United States of America;USA;Canada;CAN;Canada Central (Toronto);Toronto;1;2016;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Canada;CAN;Canada East (Quebec);Quebec;1;2016;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;India;IND;Central India (Pune);Pune;1;2015;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Singapore;SGP;Southeast Asia (Singapore);Singapore;1;2010;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Spain;ESP;Spain Central (Madrid);Madrid;1;2024;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Sweden;SWE;Sweden Central (Gävle);Gävle;1;2021;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Switzerland;CHE;Switzerland North (Geneva);Geneva;1;NA;https://learn.microsoft.com/en-us/azure/reliability/regions-list;;;;
Azure;United States of America;USA;United Arab Emirates;ARE;UAE Central (Abu Dhabi);Abu Dhabi;1;NA;https://learn.microsoft.com/en-us/azure/reliability/regions-list;;;;
Azure;United States of America;USA;United Arab Emirates;ARE;UAE North (Dubai);Dubai;1;2019;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United Kingdom;GBR;UK West (London);London;1;2016;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United Kingdom;GBR;UK South (Cardiff);Cardiff;1;2016;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;Central US;Iowa;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;East US;Virginia;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;East US 3;Georgia;1;NA;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;East US 2;Virginia;1;2012;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;West Central US (Wyoming);Wyoming;1;2016;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Netherlands;NLD;West Europe (Netherlands);Netherlands;1;2010;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;India;IND;West India (Mumbai);Mumbai;1;NA;https://learn.microsoft.com/en-us/azure/reliability/regions-list;;;;
Azure;United States of America;USA;United States of America;USA;West US (California);California;1;2012;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;United States of America;USA;West US 2 (Wahshington);Washington;1;2007;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;Chile;CHL;Chile Central;Santiago;1;2025;https://datacenters.microsoft.com/globe/explore?view=table;;;;
Azure;United States of America;USA;China;CHN;China East;Shanghai;1;2014;https://datacenters.microsoft.com/globe/explore?view=table;;;;
